fid,REGION,long,Borehole n,Temperatur,pH,Electrical,Total Diss,Turbidity-,Salinity-P,Color-PCU,Nitrate (N,Nitrite (N,Ammonia (N,Phosphate-,Fluoride (,Potassium-,Chloride (,Sulfate (S,Iron (Fe)-,Total Susp,Calcium-mg,magnesium-,Total Hard,Total Coli,E. coli-CF,lat
21,UNGUJA URBAN WEST,39.215266312359091,K/Samaki Masumbani,30.100000000000001,6.770000000000000,753.000000000000000,377.000000000000000,0.550000000000000,0.380000000000000,false,58.000000000000000,0.063000000000000,0.000000000000000,,0.800000000000000,14.000000000000000,48.200000000000003,,0.000000000000000,false,,,126,3,0,-6.215
22,UNGUJA URBAN WEST,39.250575009073017,Chunga 09,29.899999999999999,6.690000000000000,648.000000000000000,324.000000000000000,0.460000000000000,0.320000000000000,false,0.700000000000000,0.076000000000000,0.000000000000000,,0.200000000000000,2.300000000000000,23.399999999999999,,0.000000000000000,false,,,146,11,0,-6.159
23,UNGUJA URBAN WEST,39.241380279782497,Kinuni,29.199999999999999,6.560000000000000,571.000000000000000,286.000000000000000,2.780000000000000,0.290000000000000,false,16.199999999999999,0.027000000000000,0.000000000000000,,0.170000000000000,2.300000000000000,20.559999999999999,,0.000000000000000,false,,,129,37,0,-6.163
24,UNGUJA URBAN WEST,39.252153736248196,Dole Tank (Old),29.699999999999999,6.420000000000000,515.000000000000000,258.000000000000000,0.560000000000000,0.260000000000000,,2.800000000000000,0.000000000000000,0.000000000000000,,0.210000000000000,2.700000000000000,14.180000000000000,,0.000000000000000,false,,,127,16,0,-6.108
25,UNGUJA NORTH REGION,39.303427241983186,Chaani Kongwe,29.300000000000001,6.250000000000000,727.000000000000000,363.500000000000000,0.670000000000000,0.320000000000000,false,14.300000000000001,0.000000000000000,0.000000000000000,0.74,0.270000000000000,0.800000000000000,38.280000000000001,,0.040000000000000,false,57.200000000000003,18.300000000000001,326,6,0,-5.924
26,UNGUJA NORTH REGION,39.338682293528656,Kandwi,29.500000000000000,6.430000000000000,595.000000000000000,297.500000000000000,0.670000000000000,0.290000000000000,false,23.300000000000001,0.005000000000000,0.000000000000000,0.64,0.930000000000000,2.500000000000000,24.809999999999999,,0.000000000000000,false,58.000000000000000,61.200000000000003,298,26,0,-5.942
27,UNGUJA NORTH REGION,39.299008497142559,Chaani Tassaf,29.100000000000001,6.300000000000000,959.000000000000000,479.500000000000000,0.900000000000000,0.480000000000000,false,70.099999999999994,0.003000000000000,0.000000000000000,0.18,0.150000000000000,1.300000000000000,137.500000000000000,,0.050000000000000,false,78.799999999999997,1.210000000000000,202,,,-5.939
28,UNGUJA NORTH REGION,39.299893874097691,Kilindi,30.100000000000001,6.900000000000000,652.000000000000000,326.000000000000000,1.200000000000000,0.320000000000000,false,33.600000000000001,1.400000000000000,0.000000000000000,0,0.120000000000000,1.800000000000000,78.689999999999998,,0.000000000000000,false,46.799999999999997,31.600000000000001,247,30,15,-5.764
29,UNGUJA NORTH REGION,39.251307524992434,Donge kipange,27.800000000000001,6.380000000000000,675.000000000000000,334.000000000000000,0.310000000000000,0.340000000000000,false,2.800000000000000,0.060000000000000,0.000000000000000,5.74,0.000000000000000,1.600000000000000,23.396999999999998,,0.030000000000000,false,62.000000000000000,1.220000000000000,160,32,0,-5.905
30,UNGUJA NORTH REGION,39.251235283513061,Kipange - Tumbatu,28.600000000000001,6.620000000000000,713.000000000000000,357.000000000000000,0.210000000000000,0.360000000000000,false,12.500000000000000,0.034000000000000,0.000000000000000,1.7,0.210000000000000,1.800000000000000,48.920999999999999,,0.050000000000000,false,53.200000000000003,7.300000000000000,163,37,0,-5.905
31,UNGUJA NORTH REGION,39.304796367446158,Kiashange 1,28.800000000000001,6.510000000000000,563.000000000000000,281.000000000000000,2.100000000000000,0.280000000000000,false,3.100000000000000,0.029000000000000,0.000000000000000,9.62,0.000000000000000,1.500000000000000,34.031999999999996,,0.000000000000000,false,42.000000000000000,4.860000000000000,125,54,0,-5.883
32,UNGUJA NORTH REGION,39.303957760929734,Tazari kongwe,31.000000000000000,6.380000000000000,661.000000000000000,331.000000000000000,0.760000000000000,0.330000000000000,false,55.500000000000000,0.042000000000000,0.000000000000000,5.07,0.000000000000000,2.900000000000000,19.143000000000001,,0.030000000000000,false,51.200000000000003,3.400000000000000,142,13,0,-5.785
33,UNGUJA NORTH REGION,39.306606655595438,Tazari mazingira,30.699999999999999,6.820000000000000,677.000000000000000,339.000000000000000,7.070000000000000,0.340000000000000,false,15.699999999999999,0.079000000000000,0.000000000000000,4.97,0.000000000000000,3.600000000000000,53.174999999999997,,0.100000000000000,false,50.399999999999999,4.380000000000000,144,50,40,-5.790
34,UNGUJA NORTH REGION,39.294499427666011,Moga kibeberu,28.699999999999999,6.500000000000000,803.000000000000000,401.000000000000000,0.440000000000000,0.400000000000000,false,10.800000000000001,0.070000000000000,0.000000000000000,8.46,0.000000000000000,1.400000000000000,41.119999999999997,,0.000000000000000,false,68.400000000000006,1.220000000000000,179,23,0,-5.903
35,UNGUJA NORTH REGION,39.257232821371581,Kipange Tumbatu - 2,28.800000000000001,6.220000000000000,692.000000000000000,346.000000000000000,0.360000000000000,0.350000000000000,false,4.700000000000000,0.012000000000000,0.000000000000000,4.97,0.000000000000000,3.600000000000000,24.106000000000002,,0.100000000000000,false,58.399999999999999,,146,37,0,-5.902
36,UNGUJA NORTH REGION,39.256980388262463,Kipange Tumbatu - 3,28.300000000000001,6.730000000000000,637.000000000000000,318.000000000000000,1.150000000000000,0.340000000000000,false,4.900000000000000,0.000000000000000,0.000000000000000,1.22,0.000000000000000,2.100000000000000,24.809999999999999,,0.020000000000000,false,54.799999999999997,3.400000000000000,151,37,30,-5.903
37,UNGUJA NORTH REGION,39.251101565850064,Donnge kipange - Mbunge,29.100000000000001,6.760000000000000,623.000000000000000,311.000000000000000,0.310000000000000,0.310000000000000,false,6.800000000000000,0.011000000000000,0.000000000000000,20.08,0.000000000000000,1.700000000000000,51.039999999999999,,0.000000000000000,false,58.399999999999999,1.950000000000000,154,5,0,-5.909
38,UNGUJA NORTH REGION,39.304796367446158,Kieshang JP5-1/Kidagoni (kibuyuni),29.300000000000001,6.660000000000000,583.000000000000000,291.000000000000000,2.140000000000000,0.290000000000000,,11.100000000000000,0.008000000000000,0.000000000000000,158.6,0.620000000000000,3.300000000000000,27.559999999999999,,0.030000000000000,false,45.600000000000001,4.860000000000000,134,58,4,-5.883
