toilet_id,toilet_lat,toilet_long,borehole_id,borehole_type,distance_m,surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
11356,-5.868826000000006,39.275082,privbh_14857,private,7.100906712301722,101675442704.06273,2000.0,50837721.352031365
11476,-5.867829999999992,39.277419,privbh_14838,private,4.7480233668327765,101914954821.38412,2000.0,50957477.410692066
11482,-5.867829999999992,39.277491,privbh_14838,private,9.272022335376823,101454933024.5488,2000.0,50727466.5122744
11404,-5.866653000000006,39.276577,privbh_14845,private,8.253000399338477,101558370520.40793,2000.0,50779185.260203965
11404,-5.866653000000006,39.276577,privbh_14854,private,9.152681668136314,101467041446.45,2000.0,50733520.723225
11408,-5.866509000000006,39.276652,privbh_14845,private,9.78674697463159,101402725108.25023,2000.0,50701362.554125115
11233,-5.871060000000004,39.277935,privbh_14784,private,8.27552622908194,126945103574.51297,2000.0,63472551.78725649
12064,-5.854489000000004,39.28138,privbh_15393,private,6.805570008481973,12713184453.608068,2000.0,6356592.226804034
11687,-5.857872000000008,39.282231,privbh_15400,private,2.644686660069179,102129541882.13739,2000.0,51064770.941068694
11584,-5.857347000000004,39.281989,privbh_15351,private,8.921564662885462,12686311864.41801,2000.0,6343155.932209006
11683,-5.858563,39.281766,privbh_15352,private,8.18148665132777,101565633599.82762,2000.0,50782816.79991381
11802,-5.860372999999992,39.281184,privbh_15356,private,6.6088585874224295,127156855281.75034,2000.0,63578427.64087517
11815,-5.861085999999992,39.281405,privbh_15402,private,3.3574421062520354,102056774430.72401,2000.0,51028387.215362005
10508,-5.861242999999996,39.27935,privbh_15389,private,6.150562800070585,12721514408.859594,2000.0,6360757.204429797
11891,-5.860734000000006,39.27937,privbh_15344,private,8.4384424410871,12692442384.368343,2000.0,6346221.192184172
5786,-5.829179000000002,39.295122,privbh_15642,private,8.937557008820596,12686108982.15232,2000.0,6343054.49107616
6554,-5.802939999999996,39.302432,privbh_16182,private,6.172309864232661,12721237756.277708,2000.0,6360618.878138854
6884,-5.800335999999994,39.299346,privbh_16179,private,9.338229235900098,101448216230.24196,2000.0,50724108.11512098
6951,-5.800265,39.299374,privbh_16179,private,3.0469624764987233,102088465899.78629,2000.0,51044232.94989314
6682,-5.796626999999998,39.302215,privbh_16186,private,5.4601835120918425,101842400890.4299,2000.0,50921200.44521495
7126,-5.780222999999992,39.304528,privbh_16118,private,7.419561737242542,101643048474.89806,2000.0,50821524.23744903
7381,-5.782226999999996,39.305684,privbh_16138,private,0.9263328921061881,12788148429.078503,2000.0,6394074.214539251
7381,-5.782226999999996,39.305684,privbh_16139,private,4.289305814859858,12745214465.521584,2000.0,6372607.232760792
7385,-5.782157999999996,39.305657,privbh_16138,private,8.718314941943571,101511124926.5649,2000.0,50755562.46328245
7306,-5.782655999999998,39.304239,privbh_16142,private,9.040274144589217,101478447746.36559,2000.0,50739223.873182796
7438,-5.783710999999998,39.305225,privbh_16140,private,4.929837279064384,12737053368.63708,2000.0,6368526.68431854
7412,-5.783354000000008,39.303746,privbh_16144,private,6.055211978763554,12722727473.539185,2000.0,6361363.736769592
7687,-5.78165,39.301155,privbh_16147,private,7.179175631166954,127084356235.64012,2000.0,63542178.11782006
7692,-5.781655999999998,39.30114600000001,privbh_16147,private,7.626716504716377,127027493516.98044,2000.0,63513746.75849022
7696,-5.78170899999999,39.30123400000001,privbh_16147,private,3.7584088647266998,127519826574.57384,2000.0,63759913.28728692
213,-5.773264000000006,39.301476,privbh_16427,private,3.351519100247325,12757172364.425243,2000.0,6378586.182212622
541,-5.779161999999996,39.297348,privbh_16431,private,5.906964114295481,101796909844.24544,2000.0,50898454.92212272
486,-5.779454000000004,39.299129,privbh_16420,private,8.907083650861205,101491964611.06264,2000.0,50745982.305531316
265,-5.776830999999994,39.296293,privbh_16423,private,5.4786573727711225,12730064935.685383,2000.0,6365032.467842692
271,-5.776851000000008,39.296318,privbh_16423,private,8.567349868286383,101526450717.81697,2000.0,50763225.35890848
282,-5.777864999999996,39.296579,privbh_16430,private,7.122976933589536,101673198729.30531,2000.0,50836599.364652656
40,-5.769674000000006,39.296273,privbh_16434,private,5.5097490528515,12729669142.731966,2000.0,6364834.571365983
47,-5.769655000000002,39.29625300000001,privbh_16434,private,8.215696939093654,12695269883.713463,2000.0,6347634.941856732
5592,-5.738087000000006,39.302353,privbh_16852,private,6.764284492523922,101709674678.58104,2000.0,50854837.33929052
5139,-5.737297000000006,39.304469,privbh_16903,private,6.817574491504827,12713031839.31716,2000.0,6356515.91965858
5351,-5.733483000000002,39.303232,privbh_16845,private,6.231153538954791,127204892139.24823,2000.0,63602446.06962412
2957,-5.737728999999998,39.297251,privbh_16992,private,0.9775454345313526,12787493532.254147,2000.0,6393746.766127073
2959,-5.737749999999998,39.297275,privbh_16992,private,2.5763076921554116,12767065704.196615,2000.0,6383532.852098308
2963,-5.737645000000002,39.297955,privbh_16991,private,7.348796763857734,12706280187.127766,2000.0,6353140.093563883
2968,-5.737706000000002,39.297307,privbh_16992,private,6.486402563624379,12717242735.807459,2000.0,6358621.36790373
2969,-5.737747000000002,39.29725,privbh_16992,private,1.4436708279322454,12781534345.772783,2000.0,6390767.172886392
3014,-5.741397999999994,39.297437,privbh_16981,private,7.237891400209355,12707689459.899048,2000.0,6353844.729949524
3028,-5.740537999999996,39.297451,privbh_16977,private,3.716093417976662,12752522274.717474,2000.0,6376261.137358737
3031,-5.739332999999992,39.298051,privbh_16975,private,1.8667172742295228,102209026453.38416,2000.0,51104513.22669208
3054,-5.739640000000004,39.298146,privbh_16976,private,4.433730186935803,12743373878.841415,2000.0,6371686.9394207075
18725,-5.868828000000008,39.350949,privbh_16658,private,3.2551932681650584,12758401268.854935,2000.0,6379200.634427467
18837,-5.871793999999996,39.351524,privbh_16654,private,3.6038149549750544,12753954188.702919,2000.0,6376977.094351459
18693,-5.868910999999996,39.351766,privbh_16659,private,8.393056549662317,101544147642.02371,2000.0,50772073.821011856
18691,-5.869098000000004,39.35205500000001,privbh_16660,private,9.804072796388171,12675121029.741127,2000.0,6337560.5148705635
18736,-5.869071999999996,39.352138,privbh_16660,private,4.770037046651755,101912711322.89384,2000.0,50956355.66144692
18814,-5.871471000000002,39.352076,privbh_16655,private,8.002928672020222,12697971321.666595,2000.0,6348985.660833297
18827,-5.871540999999998,39.352021,privbh_16655,private,6.63971162719686,12715293216.675703,2000.0,6357646.608337851
18828,-5.871600000000004,39.35202,privbh_16655,private,9.272549821403423,12681859938.562925,2000.0,6340929.969281463
18833,-5.871175999999998,39.351994,privbh_16656,private,4.689177474048131,12740119034.29371,2000.0,6370059.517146856
19989,-5.883532000000004,39.351584,privbh_17726,private,4.664860517312277,101923430711.87054,2000.0,50961715.355935276
19923,-5.883002000000008,39.35175100000001,privbh_17777,private,6.553337154617787,127163915408.53886,2000.0,63581957.70426943
19875,-5.882808000000002,39.35222,privbh_17778,private,3.7456969288749082,12752144760.87323,2000.0,6376072.380436615
19874,-5.882790000000002,39.352222,privbh_17778,private,1.8646282045128328,12776154996.923637,2000.0,6388077.498461818
19917,-5.881337999999994,39.351779,privbh_17780,private,4.916121655075298,12737228066.469856,2000.0,6368614.033234928
19916,-5.881315000000008,39.351803,privbh_17780,private,6.8800626548852675,12712237450.126743,2000.0,6356118.7250633715
20019,-5.885061000000002,39.35201300000001,privbh_17776,private,8.8057992202403,101502244687.50792,2000.0,50751122.343753956
20031,-5.884906000000008,39.352446,privbh_17722,private,3.3364368891318046,102058918177.94437,2000.0,51029459.08897218
20034,-5.885114999999994,39.352604,privbh_17775,private,8.984715718711234,101484085885.80455,2000.0,50742042.942902274
20035,-5.885233,39.352624,privbh_17775,private,4.325702524461009,12744750590.0937,2000.0,6372375.29504685
20023,-5.884228999999998,39.352136,privbh_17724,private,4.23509259384547,101967243547.04144,2000.0,50983621.77352072
20011,-5.884202000000002,39.352248,privbh_17724,private,9.16181617173344,12683264324.953506,2000.0,6341632.162476753
20097,-5.897645999999992,39.353794,privbh_17773,private,5.226350611642357,12733277222.362047,2000.0,6366638.6111810235
20097,-5.897645999999992,39.353794,privbh_17774,private,7.15184277189403,12708782986.193674,2000.0,6354391.493096837
20265,-5.896671000000002,39.34315,privbh_17717,private,9.340441075661706,25361997960.822926,2000.0,12680998.980411462
20740,-5.887277000000002,39.337691,privbh_17709,private,6.458109994528681,127176025443.66202,2000.0,63588012.72183101
20817,-5.887174999999994,39.33877,privbh_17710,private,3.8593525099914174,102005563926.48262,2000.0,51002781.96324131
20510,-5.883792000000006,39.318647,privbh_17754,private,2.866430853202973,12763362219.996462,2000.0,6381681.109998231
14056,-5.869279999999996,39.328799,privbh_16705,private,9.533034787802212,25357113869.826057,2000.0,12678556.934913028
13866,-5.866078000000006,39.328541,privbh_16703,private,6.324972077366909,101754366817.5959,2000.0,50877183.40879795
12615,-5.861933000000008,39.316965,privbh_16758,private,9.124370370715594,12683739268.837946,2000.0,6341869.634418973
12697,-5.851476999999996,39.31064,privbh_16753,private,0.34179577640369063,25591251523.305424,2000.0,12795625.761652712
12277,-5.834340999999992,39.333459,privbh_16745,private,6.442094281515139,12717806227.469831,2000.0,6358903.113734916
12449,-5.840979999999994,39.330682,privbh_16740,private,7.666469505825707,101617955114.6074,2000.0,50808977.557303704
12394,-5.84104,39.33081,privbh_16740,private,8.980784012950105,12685560611.519258,2000.0,6342780.305759629
14668,-5.827791,39.342208,privbh_16835,private,9.818131825195222,101399542648.81674,2000.0,50699771.32440837
14339,-5.822421,39.34479,privbh_16823,private,6.786125925758861,12713431652.221527,2000.0,6356715.8261107635
14753,-5.826626000000004,39.343517,privbh_16830,private,7.935851980563195,101590584705.10072,2000.0,50795292.352550365
14777,-5.827129000000008,39.343972,privbh_16833,private,8.213242309501876,12695301045.93684,2000.0,6347650.52296842
21050,-5.914917999999992,39.352246,privbh_17824,private,7.534000918200039,12703927149.153803,2000.0,6351963.574576901
20970,-5.914260000000002,39.352671,privbh_17825,private,5.8581219961208575,12725235242.796095,2000.0,6362617.621398048
21133,-5.914124999999998,39.354358,privbh_17832,private,9.390134140579583,101442950706.90306,2000.0,50721475.35345153
21016,-5.914989000000002,39.355,privbh_17834,private,0.8642734267046172,12788942079.359987,2000.0,6394471.039679994
21214,-5.923058999999998,39.357425,privbh_17791,private,9.90390984181394,101390845170.19383,2000.0,50695422.58509692
21287,-5.923186000000008,39.357458,privbh_17791,private,7.717388944743114,127015976146.35472,2000.0,63507988.07317736
21299,-5.923504,39.357083,privbh_17793,private,7.632150455472011,25405360651.542294,2000.0,12702680.325771147
21299,-5.923504,39.357083,privbh_17794,private,6.4326646284116995,25435852305.072437,2000.0,12717926.152536219
21480,-5.923422,39.356128000000005,privbh_17734,private,4.609417925352921,12741135220.962967,2000.0,6370567.610481484
21628,-5.923392000000004,39.356229,privbh_17734,private,9.768522500019987,126755716420.59892,2000.0,63377858.21029946
21281,-5.923123000000002,39.35683,privbh_17745,private,3.913254707608032,127500082188.25134,2000.0,63750041.09412567
