borehole_id,borehole_type,total_surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
privbh_10237,private,12719384462.372627,2000.0,6359692.231186314
privbh_10243,private,126941933884.74606,2000.0,63470966.94237303
privbh_10250,private,203990316049.9208,2000.0,101995158.0249604
privbh_10260,private,12740501923.838526,2000.0,6370250.961919263
privbh_10265,private,12701296191.274937,2000.0,6350648.095637469
privbh_10266,private,12732965227.639296,2000.0,6366482.613819648
privbh_10267,private,511146229037.25305,2000.0,255573114.5186265
privbh_10270,private,12680431287.575596,2000.0,6340215.643787798
privbh_10272,private,101806043211.66124,2000.0,50903021.60583062
privbh_10285,private,12675307548.133747,2000.0,6337653.774066874
privbh_10291,private,12732025126.41316,2000.0,6366012.5632065805
privbh_10294,private,12680955894.465984,2000.0,6340477.947232992
privbh_10296,private,127351301257.04594,2000.0,63675650.62852297
privbh_10297,private,12695906088.041643,2000.0,6347953.044020821
privbh_103,private,12714944749.142992,2000.0,6357472.374571496
privbh_1030,private,38328600598.12702,2000.0,19164300.29906351
privbh_10302,private,127150877375.35703,2000.0,63575438.687678516
privbh_10304,private,38093548015.574265,2000.0,19046774.00778713
privbh_10307,private,12689487405.839314,2000.0,6344743.702919656
privbh_10309,private,12694785155.648134,2000.0,6347392.577824067
privbh_10310,private,12698916968.452852,2000.0,6349458.484226426
privbh_10312,private,25432910915.076187,2000.0,12716455.457538094
privbh_10317,private,102001193633.20053,2000.0,51000596.81660026
privbh_1032,private,127007524274.07721,2000.0,63503762.1370386
privbh_10326,private,12690988133.442738,2000.0,6345494.066721369
privbh_10329,private,140348934636.13266,2000.0,70174467.31806633
privbh_10331,private,127153491395.79466,2000.0,63576745.69789733
privbh_10337,private,127060248366.57959,2000.0,63530124.183289796
privbh_1034,private,127429079078.51454,2000.0,63714539.53925727
privbh_10341,private,12718588769.163315,2000.0,6359294.384581657
privbh_10345,private,12698598324.028358,2000.0,6349299.162014179
privbh_10348,private,12700130078.304306,2000.0,6350065.039152153
privbh_10350,private,12742637692.294422,2000.0,6371318.846147211
privbh_10354,private,50784664295.603195,2000.0,25392332.147801597
privbh_10356,private,101936435285.4127,2000.0,50968217.64270635
privbh_10361,private,126757887270.29892,2000.0,63378943.63514946
privbh_10366,private,127351930514.41634,2000.0,63675965.25720817
privbh_10373,private,12782504866.087252,2000.0,6391252.433043626
privbh_10375,private,101546752290.29231,2000.0,50773376.145146154
privbh_10376,private,12690474722.39914,2000.0,6345237.36119957
privbh_10378,private,127369365848.00624,2000.0,63684682.92400312
privbh_10389,private,12755957681.353104,2000.0,6377978.840676552
privbh_10390,private,101411374157.34357,2000.0,50705687.07867178
privbh_10392,private,101542768867.9102,2000.0,50771384.4339551
privbh_10393,private,127717497728.49506,2000.0,63858748.86424753
privbh_10394,private,127620194840.7758,2000.0,63810097.4203879
privbh_10395,private,127598863629.04497,2000.0,63799431.81452248
privbh_10399,private,12726541433.930645,2000.0,6363270.716965322
