borehole_id,borehole_type,total_surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
privbh_10070,private,25096719110.677086,2000.0,12548359.555338543
privbh_10071,private,225090740391.74094,2000.0,112545370.19587047
privbh_10072,private,50051451328.3697,2000.0,25025725.66418485
privbh_10073,private,101274880417.60995,2000.0,50637440.20880498
privbh_10074,private,24983015584.222614,2000.0,12491507.792111307
privbh_10075,private,25326502864.90805,2000.0,12663251.432454025
privbh_10076,private,25370581384.039707,2000.0,12685290.692019854
privbh_10077,private,99691866020.44606,2000.0,49845933.01022303
privbh_10078,private,253193357095.30112,2000.0,126596678.54765056
privbh_1008,private,49938561106.806694,2000.0,24969280.553403348
privbh_10081,private,25288716600.016335,2000.0,12644358.300008167
privbh_10082,private,12547170378.506227,2000.0,6273585.189253114
privbh_10083,private,12498157596.053505,2000.0,6249078.798026753
privbh_10084,private,75369441696.86731,2000.0,37684720.84843366
privbh_10085,private,164012873880.03384,2000.0,82006436.94001693
privbh_10086,private,25266700103.238422,2000.0,12633350.051619211
privbh_10089,private,25367577966.01221,2000.0,12683788.983006105
privbh_1009,private,12460996405.580868,2000.0,6230498.202790434
privbh_10090,private,25185236206.521576,2000.0,12592618.103260787
privbh_10091,private,87878928036.75153,2000.0,43939464.01837576
privbh_10093,private,203133737286.9892,2000.0,101566868.64349459
privbh_10094,private,12627940823.35121,2000.0,6313970.411675605
privbh_10097,private,214778533365.74203,2000.0,107389266.68287101
privbh_101,private,585922758045.172,2000.0,292961379.022586
privbh_1010,private,87784054687.89534,2000.0,43892027.34394767
privbh_10101,private,100202308746.77815,2000.0,50101154.37338907
privbh_10102,private,25269986620.885147,2000.0,12634993.310442574
privbh_10103,private,338254144905.07605,2000.0,169127072.452538
privbh_10108,private,251731006001.85974,2000.0,125865503.00092988
privbh_10109,private,114412187335.25664,2000.0,57206093.66762832
privbh_10111,private,137904822924.76895,2000.0,68952411.46238448
privbh_10112,private,113059947627.75423,2000.0,56529973.81387711
privbh_10113,private,125505555434.75697,2000.0,62752777.71737849
privbh_10114,private,25198214320.311058,2000.0,12599107.16015553
privbh_10115,private,403773774009.5938,2000.0,201886887.0047969
privbh_10117,private,12498749634.461508,2000.0,6249374.817230754
privbh_10118,private,25094090698.23623,2000.0,12547045.349118115
privbh_1012,private,618101429898.7247,2000.0,309050714.94936234
privbh_10120,private,12538330804.933693,2000.0,6269165.402466847
privbh_10121,private,236943631475.3077,2000.0,118471815.73765385
privbh_10122,private,99852860305.5978,2000.0,49926430.1527989
privbh_10123,private,139796026582.87836,2000.0,69898013.29143918
privbh_10124,private,139246999769.14285,2000.0,69623499.88457143
privbh_10125,private,99801483758.92207,2000.0,49900741.879461035
privbh_10126,private,162753624434.3652,2000.0,81376812.2171826
privbh_10127,private,124832025961.63654,2000.0,62416012.980818264
privbh_10128,private,125623257809.85075,2000.0,62811628.904925376
privbh_10129,private,679388313410.1086,2000.0,339694156.70505434
privbh_1013,private,24947937526.820538,2000.0,12473968.763410268
privbh_10130,private,12450204158.145584,2000.0,6225102.079072792
privbh_10131,private,226005344907.86017,2000.0,113002672.45393008
privbh_10132,private,25112572204.971817,2000.0,12556286.102485908
privbh_10133,private,37799196124.48745,2000.0,18899598.062243726
privbh_10136,private,114306482665.80922,2000.0,57153241.33290461
privbh_10137,private,37711928239.334854,2000.0,18855964.119667426
privbh_10138,private,25183594840.57878,2000.0,12591797.42028939
privbh_10139,private,124869833015.76477,2000.0,62434916.50788239
privbh_1014,private,440143773773.2243,2000.0,220071886.88661215
privbh_10140,private,75379345403.99336,2000.0,37689672.701996684
privbh_10141,private,137652757012.47684,2000.0,68826378.50623842
privbh_10142,private,111879906495.58531,2000.0,55939953.247792654
privbh_10143,private,200888096112.45612,2000.0,100444048.05622806
privbh_10144,private,12639310042.114683,2000.0,6319655.021057341
privbh_10145,private,12623016700.839315,2000.0,6311508.350419657
privbh_10146,private,37570525927.03386,2000.0,18785262.96351693
privbh_10147,private,12637255334.07016,2000.0,6318627.66703508
privbh_1015,private,212743908714.97748,2000.0,106371954.35748874
privbh_10151,private,12438712585.288582,2000.0,6219356.292644291
privbh_10152,private,12744001128.722525,2000.0,6372000.564361262
privbh_10153,private,37490600631.0829,2000.0,18745300.31554145
privbh_10155,private,12599536461.415333,2000.0,6299768.230707667
privbh_10157,private,12629793498.737522,2000.0,6314896.749368761
privbh_10159,private,12744498750.24006,2000.0,6372249.375120031
privbh_1016,private,162365047837.64502,2000.0,81182523.91882251
privbh_10160,private,100473418597.24738,2000.0,50236709.29862369
privbh_10161,private,37781248024.30202,2000.0,18890624.01215101
privbh_10162,private,87508776807.10323,2000.0,43754388.403551616
privbh_10164,private,112897710222.38448,2000.0,56448855.11119224
privbh_10166,private,12726475824.181171,2000.0,6363237.912090586
privbh_10168,private,25319674401.792694,2000.0,12659837.200896347
privbh_10169,private,12629872682.45919,2000.0,6314936.341229595
privbh_1017,private,37446204667.40353,2000.0,18723102.333701763
privbh_10170,private,25136916205.714813,2000.0,12568458.102857407
privbh_10171,private,50090079299.50064,2000.0,25045039.649750322
privbh_10172,private,25061212977.047897,2000.0,12530606.488523949
privbh_10173,private,25063229676.032852,2000.0,12531614.838016426
privbh_10174,private,37940336575.155716,2000.0,18970168.287577856
privbh_10175,private,24942672732.952854,2000.0,12471336.366476428
privbh_10176,private,24962799785.87751,2000.0,12481399.892938755
privbh_10177,private,113256481423.07916,2000.0,56628240.71153958
privbh_10180,private,37588332039.66272,2000.0,18794166.01983136
privbh_10181,private,37667715840.12564,2000.0,18833857.92006282
privbh_10185,private,25203841283.659355,2000.0,12601920.641829677
privbh_10187,private,162906494394.5544,2000.0,81453247.1972772
privbh_10189,private,225726285193.70688,2000.0,112863142.59685344
privbh_1019,private,50064868433.731575,2000.0,25032434.21686579
privbh_10190,private,152744938761.12622,2000.0,76372469.38056311
privbh_10191,private,12675058303.238432,2000.0,6337529.151619216
privbh_10192,private,75508865320.50752,2000.0,37754432.66025376
privbh_10193,private,25170958969.54972,2000.0,12585479.48477486
privbh_10195,private,138078780286.696,2000.0,69039390.14334801
privbh_10196,private,175706489873.49683,2000.0,87853244.93674842
privbh_10197,private,63031949037.30864,2000.0,31515974.51865432
privbh_10198,private,1066016475863.8312,2000.0,533008237.9319156
privbh_10199,private,961103213988.5193,2000.0,480551606.99425966
privbh_102,private,124631452036.51572,2000.0,62315726.01825786
privbh_1020,private,25125736303.649315,2000.0,12562868.151824657
privbh_10200,private,312255706522.7454,2000.0,156127853.26137272
privbh_10201,private,212557110327.6799,2000.0,106278555.16383995
privbh_10202,private,213635284369.42255,2000.0,106817642.18471128
privbh_10203,private,351311413573.1688,2000.0,175655706.7865844
privbh_10204,private,138032059395.86124,2000.0,69016029.69793062
privbh_10205,private,150539453845.43195,2000.0,75269726.92271598
privbh_10206,private,124975334956.67038,2000.0,62487667.47833519
privbh_10207,private,50040893853.46015,2000.0,25020446.926730074
privbh_10208,private,137185314492.2231,2000.0,68592657.24611154
privbh_10209,private,152186047703.41428,2000.0,76093023.85170713
privbh_1021,private,112290551283.99109,2000.0,56145275.64199554
privbh_10210,private,37635400781.39834,2000.0,18817700.39069917
privbh_10211,private,150308234224.31506,2000.0,75154117.11215754
privbh_10216,private,37511602627.45139,2000.0,18755801.313725695
privbh_10217,private,62935767045.21877,2000.0,31467883.522609387
privbh_10218,private,376147903375.01917,2000.0,188073951.6875096
privbh_10219,private,62441728979.47867,2000.0,31220864.489739332
privbh_10220,private,162380055601.03033,2000.0,81190027.80051516
privbh_10221,private,150201197767.58026,2000.0,75100598.88379014
privbh_10222,private,150268364847.1275,2000.0,75134182.42356375
privbh_10223,private,236881659121.8389,2000.0,118440829.56091945
privbh_10224,private,126201862438.9694,2000.0,63100931.2194847
privbh_10225,private,62590639447.613235,2000.0,31295319.723806616
privbh_10226,private,75539696662.57393,2000.0,37769848.33128697
privbh_10227,private,75644357571.6541,2000.0,37822178.78582705
privbh_10228,private,137593678900.21283,2000.0,68796839.45010641
privbh_10229,private,138540286313.89542,2000.0,69270143.1569477
privbh_1023,private,12440997555.773834,2000.0,6220498.777886917
privbh_10230,private,151562771666.8659,2000.0,75781385.83343296
privbh_10231,private,50119063136.498566,2000.0,25059531.56824928
privbh_10232,private,138154314904.7239,2000.0,69077157.45236196
privbh_10233,private,137856746149.8527,2000.0,68928373.07492635
privbh_10234,private,126031919256.28807,2000.0,63015959.62814403
privbh_10235,private,37566922924.403595,2000.0,18783461.462201796
privbh_10236,private,50480048025.539085,2000.0,25240024.012769543
privbh_10237,private,50397192872.36444,2000.0,25198596.43618222
privbh_10238,private,50380694500.66441,2000.0,25190347.250332206
privbh_10239,private,12510265784.320618,2000.0,6255132.892160309
privbh_10241,private,313236402357.36914,2000.0,156618201.17868456
