borehole_id,borehole_type,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL,lat,long
privbh_100,private,285.7142857142857,2308465270636.82,807962844.7228869,-6.1682931,39.2098663
privbh_1000,private,857.1428571428571,297578595601.12103,34717502.82013079,-6.1516653,39.2419427
privbh_10000,private,2000.0,76190185663.21944,3809509.283160972,-6.2332096,39.2344988
privbh_10001,private,1000.0,566506260253.2795,56650626.02532796,-6.2317382,39.2341708
privbh_10003,private,2000.0,749314393116.615,37465719.65583075,-6.2307032,39.2328504
privbh_10004,private,2000.0,302238427065.69946,15111921.353284974,-6.1361924,39.2912036
privbh_10005,private,2000.0,213668858616.6233,10683442.930831164,-6.1386558,39.2917917
privbh_10006,private,2000.0,76269121046.36394,3813456.0523181967,-6.1380158,39.291251
privbh_10007,private,2000.0,219907889709.1063,10995394.485455316,-6.1384342,39.2924223
privbh_10008,private,2000.0,244553317573.08984,12227665.878654491,-6.1396226,39.2935294
privbh_10009,private,2000.0,232981354582.22263,11649067.729111131,-6.1393775,39.2892908
privbh_1001,private,1142.857142857143,6509939458804.705,569619702.6454117,-6.1532897,39.2404352
privbh_10010,private,285.7142857142857,149826707483.3019,52439347.61915567,-6.1374131,39.2889033
privbh_10011,private,1285.7142857142856,73778265496.21605,5738309.538594583,-6.1366644,39.288643
privbh_10012,private,2000.0,356090328203.48883,17804516.41017444,-6.1376623,39.2871723
privbh_10013,private,5000.0,700204072892.2837,14004081.457845673,-6.1371054,39.2874071
privbh_10014,private,142.85714285714286,355915587223.83105,249140911.05668172,-6.1358432,39.2878785
privbh_10015,private,2000.0,284431943494.4184,14221597.174720919,-6.1361735,39.288141
privbh_10016,private,2000.0,328763106811.6041,16438155.340580206,-6.1353237,39.2886432
privbh_10017,private,3000.0,420272285588.5144,14009076.186283816,-6.1333664,39.2908582
privbh_10018,private,285.7142857142857,423499884444.88574,148224959.55571002,-6.1330013,39.2910743
privbh_10019,private,571.4285714285714,208346390364.7414,36460618.31382974,-6.2347189,39.234892
privbh_1002,private,428.57142857142856,820314795340.5883,191406785.5794706,-6.1525743,39.24184
privbh_10020,private,2000.0,73023727407.53671,3651186.3703768356,-6.233562,39.2347756
privbh_10021,private,1000.0,583689231356.4973,58368923.135649726,-6.2325103,39.2344011
privbh_10022,private,857.1428571428571,455111202166.6617,53096306.91944386,-6.2315575,39.233248
privbh_10023,private,285.7142857142857,682490540579.9335,238871689.2029767,-6.2306179,39.2329646
privbh_10024,private,571.4285714285714,219053246250.09338,38334318.09376635,-6.2326213,39.2318257
privbh_10025,private,2000.0,432425611781.3044,21621280.589065216,-6.2331365,39.231752
privbh_10026,private,2000.0,72686086298.60829,3634304.3149304143,-6.2343307,39.231884
privbh_10028,private,2000.0,227377432688.95087,11368871.634447543,-6.2356339,39.2322267
privbh_10029,private,857.1428571428571,533676851040.59174,62262299.28806903,-6.2361585,39.2323752
privbh_1003,private,2000.0,1107797574914.387,55389878.74571935,-6.1537513,39.2425813
privbh_10031,private,2000.0,77280692403.41115,3864034.6201705574,-6.2390954,39.2343807
privbh_10033,private,2000.0,73801602965.75365,3690080.1482876823,-6.2387756,39.2369941
privbh_10034,private,857.1428571428571,368330357327.6973,42971875.02156469,-6.2322377,39.2320848
privbh_10035,private,2000.0,717214472241.983,35860723.612099156,-6.2331812,39.2314768
privbh_10037,private,2000.0,370932240220.1051,18546612.011005256,-6.2348105,39.2320081
privbh_10038,private,2000.0,224918497262.48706,11245924.863124352,-6.2355224,39.2315335
privbh_10039,private,2000.0,455364455935.8734,22768222.79679367,-6.2362279,39.2325079
privbh_1004,private,2857.142857142857,1358571296539.0195,47549995.37886569,-6.1533584,39.2434634
privbh_10040,private,2000.0,149004358578.34686,7450217.928917343,-6.2356248,39.2341559
privbh_10042,private,3000.0,151742486267.0569,5058082.875568563,-6.2392625,39.2334881
privbh_10043,private,2000.0,152624376032.11517,7631218.801605758,-6.2394533,39.2323643
privbh_10044,private,2000.0,525920293780.1937,26296014.68900969,-5.9033622,39.2947703
privbh_10045,private,2000.0,362278948843.3225,18113947.442166127,-5.9036,39.2932458
privbh_10046,private,5000.0,249079056575.36884,4981581.131507376,-5.9043296,39.288489
privbh_10047,private,5000.0,260043215239.45837,5200864.304789168,-5.9073725,39.290524
privbh_10048,private,5000.0,488832261061.8498,9776645.221236996,-5.9110046,39.2895537
privbh_10049,private,3000.0,293927001664.3311,9797566.722144369,-5.9111047,39.2907798
privbh_1005,private,2000.0,1364632146667.9055,68231607.33339527,-6.1539686,39.2433905
privbh_10050,private,2000.0,399513242029.6416,19975662.101482082,-5.9112138,39.2948232
privbh_10052,private,3000.0,72677844425.47787,2422594.814182596,-5.9068666,39.2938896
privbh_10054,private,3000.0,588291018707.7849,19609700.62359283,-5.9079902,39.2969636
privbh_10055,private,5000.0,1152135679528.3333,23042713.590566665,-5.9083352,39.2896246
privbh_10058,private,2000.0,370233811849.56885,18511690.592478443,-6.2387007,39.2384485
privbh_10059,private,571.4285714285714,4266774329776.049,746685507.7108085,-6.2378825,39.2385754
privbh_1006,private,571.4285714285714,1815234394583.935,317666019.05218863,-6.1541152,39.2433095
privbh_10061,private,571.4285714285714,232275151071.98242,40648151.437596925,-6.2335571,39.2358766
privbh_10062,private,2000.0,73239891530.12787,3661994.5765063935,-6.2356536,39.235757
privbh_10063,private,2000.0,223714054578.3808,11185702.72891904,-6.2316721,39.234839
privbh_10064,private,2000.0,79356952018.04593,3967847.6009022966,-6.2313494,39.2341866
privbh_10065,private,571.4285714285714,72809969808.34412,12741744.71646022,-6.2308101,39.2325121
privbh_10066,private,571.4285714285714,150739575625.95764,26379425.734542586,-6.2318233,39.2324567
privbh_10067,private,571.4285714285714,235517606241.8142,41215581.092317484,-6.2326287,39.2314947
privbh_10068,private,2000.0,294389750561.4592,14719487.528072963,-6.2344541,39.2313378
privbh_10069,private,571.4285714285714,151963151978.08313,26593551.596164547,-6.2356212,39.232363
privbh_1007,private,2142.8571428571427,519816478519.8563,24258102.33092663,-6.15555,39.2423924
privbh_10070,private,571.4285714285714,994627983902.2997,174059897.18290243,-6.2349944,39.2319157
privbh_10071,private,2000.0,301364082097.65674,15068204.104882836,-6.2362688,39.2318088
privbh_10072,private,2000.0,221031177514.0561,11051558.875702804,-6.2369876,39.2357193
privbh_10073,private,2000.0,296841861541.3466,14842093.07706733,-6.2406977,39.2345633
privbh_10074,private,2285.714285714286,156170326967.79263,6832451.804840927,-6.2404708,39.2358663
privbh_10075,private,571.4285714285714,157009622974.27075,27476684.02049738,-6.2404712,39.2357968
privbh_10076,private,285.7142857142857,419095162798.219,146683306.97937664,-6.2362896,39.2383063
privbh_10077,private,2000.0,520249971540.8643,26012498.577043217,-6.2357342,39.2382734
privbh_10079,private,2000.0,146600716061.5146,7330035.803075729,-6.2338221,39.2360244
privbh_1008,private,857.1428571428571,74401025628.09554,8680119.656611146,-6.1521884,39.2407057
privbh_10080,private,2000.0,155491128610.38287,7774556.430519144,-6.2357547,39.2353756
