borehole_id,borehole_type,lat,long,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL
govbh_040,government,-5.986,39.25832897677713,20000.0,4521277773.358657,22606388.866793286
govbh_041,government,-6.014,39.2519988742079,20000.0,705929048.447053,3529645.2422352647
govbh_043,government,-5.961,39.253130857405445,20000.0,6350913626.008104,31754568.130040523
govbh_044,government,-5.96,39.303446997262704,20000.0,911251503.0678452,4556257.5153392255
govbh_045,government,-5.979,39.195131389236415,20000.0,10130506841.165987,50652534.20582993
govbh_046,government,-5.972,39.19412582343113,20000.0,2143143568.5411558,10715717.842705779
govbh_047,government,-5.962,39.191014496834846,20000.0,33624480832.451065,168122404.16225532
govbh_053,government,-6.384,39.47109608587235,20000.0,4053068189.302186,20265340.94651093
govbh_054,government,-6.225,39.324703517177625,20000.0,4918570635.185594,24592853.17592797
govbh_055,government,-6.095,39.31237873808632,20000.0,13434703683.150558,67173518.41575278
govbh_058,government,-6.131,39.31628620198783,20000.0,42088019390.67504,210440096.95337522
govbh_059,government,-6.024,39.32654260572543,20000.0,64584236569.50069,322921182.8475034
privbh_000,private,-6.1690319,39.213935,1000.0,544208717363.5769,54420871736.35769
privbh_001,private,-6.170185,39.2155967,2000.0,507154485052.4976,25357724252.62488
privbh_002,private,-6.1705486,39.2179417,3000.0,188436790914.77393,6281226363.825797
privbh_003,private,-6.1692786,39.2171824,2000.0,439308105899.13916,21965405294.95696
privbh_004,private,-6.1659315,39.2128089,1428.5714285714284,199006353901.69586,13930444773.11871
privbh_005,private,-6.1640843,39.2135076,2000.0,68576310760.692535,3428815538.034627
privbh_006,private,-6.1655481,39.2117078,857.1428571428571,382361510572.767,44608842900.15615
privbh_007,private,-6.1644432,39.2126976,2857.142857142857,223139386636.41565,7809878532.274549
privbh_008,private,-6.1712864,39.2162646,2857.142857142857,202582501677.70883,7090387558.71981
privbh_009,private,-6.1723548,39.2169223,2000.0,464885156393.1151,23244257819.655754
privbh_010,private,-6.1645082,39.216527,2000.0,375362359093.2127,18768117954.660637
privbh_011,private,-6.165344,39.2172988,2000.0,202425214326.17163,10121260716.308582
privbh_012,private,-6.1684726,39.2161209,1000.0,506980225801.7459,50698022580.17459
privbh_013,private,-6.1671335,39.2151714,3000.0,530597010845.1377,17686567028.171257
privbh_014,private,-6.1635342,39.2151408,1000.0,27246201443.07332,2724620144.3073316
privbh_015,private,-6.1664247,39.2165883,2000.0,486742765711.49664,24337138285.574833
privbh_016,private,-6.168098,39.2138867,2000.0,328897000409.6636,16444850020.483177
privbh_017,private,-6.1661358,39.2154147,10000.0,165403109402.76212,1654031094.027621
privbh_018,private,-6.1668263,39.2149695,2571.428571428571,296051044388.63947,11513096170.669313
privbh_019,private,-6.165273,39.2156285,5000.0,203790965744.96002,4075819314.8992004
privbh_020,private,-6.1667609,39.2144079,1428.5714285714284,222916779521.24402,15604174566.487083
privbh_021,private,-6.1671511,39.2147982,5000.0,553444888629.345,11068897772.5869
privbh_022,private,-6.1637759,39.2160861,2000.0,178381558036.59906,8919077901.829954
privbh_023,private,-6.1678369,39.2169244,5000.0,386412529729.2705,7728250594.58541
privbh_024,private,-6.168109,39.2165451,5000.0,365739067037.586,7314781340.751719
privbh_025,private,-6.1633856,39.2110443,5000.0,101825363618.48106,2036507272.3696213
privbh_026,private,-6.1640311,39.2090373,571.4285714285714,637024435183.4706,111479276157.10736
privbh_027,private,-6.1632865,39.2098787,2000.0,134905526116.68648,6745276305.834323
privbh_028,private,-6.165634,39.2093612,2000.0,338387132204.7521,16919356610.237604
privbh_029,private,-6.166073,39.2102616,2000.0,295429716007.3602,14771485800.368011
