ks_per_m,EFIO_override,eff_cat2,eff_cat3,spearman_rho,kendall_tau,rmse_log,n_detections
0.06,50000000.0,0.05,0.3,-0.2510468967622862,-0.19293227864797696,1.576588139766343,36
0.06,50000000.0,0.05,0.5,-0.2510468967622862,-0.19293227864797696,1.576588139766343,36
0.06,50000000.0,0.1,0.2,-0.2510468967622862,-0.19293227864797696,1.576588139766343,36
0.06,50000000.0,0.1,0.3,-0.2510468967622862,-0.19293227864797696,1.576588139766343,36
0.06,50000000.0,0.1,0.5,-0.2510468967622862,-0.19293227864797696,1.576588139766343,36
0.06,50000000.0,0.2,0.2,-0.2510468967622862,-0.19293227864797696,1.576588139766343,36
0.06,50000000.0,0.2,0.3,-0.2510468967622862,-0.19293227864797696,1.576588139766343,36
0.06,50000000.0,0.2,0.5,-0.2510468967622862,-0.19293227864797696,1.576588139766343,36
0.06,100000000.0,0.05,0.2,-0.2510468967622862,-0.19293227864797696,1.8285700035238073,36
0.06,100000000.0,0.05,0.3,-0.2510468967622862,-0.19293227864797696,1.8285700035238073,36
0.06,100000000.0,0.05,0.5,-0.2510468967622862,-0.19293227864797696,1.8285700035238073,36
0.06,100000000.0,0.1,0.2,-0.2510468967622862,-0.19293227864797696,1.8285700035238073,36
0.06,100000000.0,0.1,0.3,-0.2510468967622862,-0.19293227864797696,1.8285700035238073,36
0.06,100000000.0,0.1,0.5,-0.2510468967622862,-0.19293227864797696,1.8285700035238073,36
0.06,100000000.0,0.2,0.2,-0.2510468967622862,-0.19293227864797696,1.8285700035238073,36
0.06,100000000.0,0.2,0.3,-0.2510468967622862,-0.19293227864797696,1.8285700035238073,36
0.06,100000000.0,0.2,0.5,-0.2510468967622862,-0.19293227864797696,1.8285700035238073,36
0.06,500000000.0,0.05,0.2,-0.2510468967622862,-0.19293227864797696,2.4561683501958744,36
0.06,500000000.0,0.05,0.3,-0.2510468967622862,-0.19293227864797696,2.4561683501958744,36
0.06,500000000.0,0.05,0.5,-0.2510468967622862,-0.19293227864797696,2.4561683501958744,36
0.06,500000000.0,0.1,0.2,-0.2510468967622862,-0.19293227864797696,2.4561683501958744,36
0.06,500000000.0,0.1,0.3,-0.2510468967622862,-0.19293227864797696,2.4561683501958744,36
0.06,500000000.0,0.1,0.5,-0.2510468967622862,-0.19293227864797696,2.4561683501958744,36
0.06,500000000.0,0.2,0.2,-0.2510468967622862,-0.19293227864797696,2.4561683501958744,36
0.06,500000000.0,0.2,0.3,-0.2510468967622862,-0.19293227864797696,2.4561683501958744,36
0.06,500000000.0,0.2,0.5,-0.2510468967622862,-0.19293227864797696,2.4561683501958744,36
0.12,10000000.0,0.05,0.2,-0.2065967148875165,-0.1736390507831793,0.9912746807969494,36
0.12,10000000.0,0.05,0.3,-0.2065967148875165,-0.1736390507831793,0.9912746807969494,36
0.12,10000000.0,0.05,0.5,-0.2065967148875165,-0.1736390507831793,0.9912746807969494,36
0.12,10000000.0,0.1,0.2,-0.2065967148875165,-0.1736390507831793,0.9912746807969494,36
0.12,10000000.0,0.1,0.3,-0.2065967148875165,-0.1736390507831793,0.9912746807969494,36
0.12,10000000.0,0.1,0.5,-0.2065967148875165,-0.1736390507831793,0.9912746807969494,36
0.12,10000000.0,0.2,0.2,-0.2065967148875165,-0.1736390507831793,0.9912746807969494,36
0.12,10000000.0,0.2,0.3,-0.2065967148875165,-0.1736390507831793,0.9912746807969494,36
0.12,10000000.0,0.2,0.5,-0.2065967148875165,-0.1736390507831793,0.9912746807969494,36
0.12,50000000.0,0.05,0.2,-0.2065967148875165,-0.1736390507831793,1.1169675862110733,36
0.12,50000000.0,0.05,0.3,-0.2065967148875165,-0.1736390507831793,1.1169675862110733,36
0.12,50000000.0,0.05,0.5,-0.2065967148875165,-0.1736390507831793,1.1169675862110733,36
0.12,50000000.0,0.1,0.2,-0.2065967148875165,-0.1736390507831793,1.1169675862110733,36
0.12,50000000.0,0.1,0.3,-0.2065967148875165,-0.1736390507831793,1.1169675862110733,36
0.12,50000000.0,0.1,0.5,-0.2065967148875165,-0.1736390507831793,1.1169675862110733,36
0.12,50000000.0,0.2,0.2,-0.2065967148875165,-0.1736390507831793,1.1169675862110733,36
0.12,50000000.0,0.2,0.3,-0.2065967148875165,-0.1736390507831793,1.1169675862110733,36
0.12,50000000.0,0.2,0.5,-0.2065967148875165,-0.1736390507831793,1.1169675862110733,36
0.12,100000000.0,0.05,0.2,-0.2065967148875165,-0.1736390507831793,1.2378364542334679,36
0.12,100000000.0,0.05,0.3,-0.2065967148875165,-0.1736390507831793,1.2378364542334679,36
0.12,100000000.0,0.05,0.5,-0.2065967148875165,-0.1736390507831793,1.2378364542334679,36
0.12,100000000.0,0.1,0.2,-0.2065967148875165,-0.1736390507831793,1.2378364542334679,36
0.12,100000000.0,0.1,0.3,-0.2065967148875165,-0.1736390507831793,1.2378364542334679,36
0.12,100000000.0,0.1,0.5,-0.2065967148875165,-0.1736390507831793,1.2378364542334679,36
0.12,100000000.0,0.2,0.2,-0.2065967148875165,-0.1736390507831793,1.2378364542334679,36
0.12,100000000.0,0.2,0.3,-0.2065967148875165,-0.1736390507831793,1.2378364542334679,36
0.12,100000000.0,0.2,0.5,-0.2065967148875165,-0.1736390507831793,1.2378364542334679,36
0.12,500000000.0,0.05,0.2,-0.2065967148875165,-0.1736390507831793,1.636601053479101,36
0.12,500000000.0,0.05,0.3,-0.2065967148875165,-0.1736390507831793,1.636601053479101,36
0.12,500000000.0,0.05,0.5,-0.2065967148875165,-0.1736390507831793,1.636601053479101,36
0.12,500000000.0,0.1,0.2,-0.2065967148875165,-0.1736390507831793,1.636601053479101,36
0.12,500000000.0,0.1,0.3,-0.2065967148875165,-0.1736390507831793,1.636601053479101,36
0.12,500000000.0,0.1,0.5,-0.2065967148875165,-0.1736390507831793,1.636601053479101,36
0.12,500000000.0,0.2,0.2,-0.2065967148875165,-0.1736390507831793,1.636601053479101,36
0.12,500000000.0,0.2,0.3,-0.2065967148875165,-0.1736390507831793,1.636601053479101,36
0.12,500000000.0,0.2,0.5,-0.2065967148875165,-0.1736390507831793,1.636601053479101,36
