toilet_id,borehole_id,distance_m
28552,privbh_13896,5.8233995187257515
28551,privbh_13896,12.800731325809705
28581,privbh_13896,14.860995363454204
28507,privbh_13902,20.624767088652323
28509,privbh_13902,19.29377511316358
28510,privbh_13902,16.84505626604143
28512,privbh_13902,14.705729732671765
28570,privbh_13897,28.869066719794944
28735,privbh_13883,21.44912168733216
28887,privbh_13882,22.99583925618196
28854,privbh_13885,21.472264166607896
9348,privbh_14428,32.88140982479404
9357,privbh_14428,12.035496292392944
9353,privbh_14428,12.6288917881771
9350,privbh_14428,6.742681316437627
9352,privbh_14428,6.345940803201088
9349,privbh_14428,5.51806163407458
8994,privbh_14793,22.536619196053064
9355,privbh_14428,20.377321106193353
9365,privbh_14428,23.26109519264421
9360,privbh_14428,32.18039102832531
9366,privbh_14428,29.140249186149283
9366,privbh_14441,32.69170297854148
9363,privbh_14441,21.17499246392985
9367,privbh_14441,9.382207001018315
9364,privbh_14441,19.473836998908556
9372,privbh_14441,12.972481537132605
9373,privbh_14441,14.368134125966405
9371,privbh_14441,5.0778124870854615
9374,privbh_14441,27.373428383542073
9370,privbh_14441,9.899796218473504
9358,privbh_14441,31.41872497378136
9330,privbh_14441,21.398493280661953
9335,privbh_14441,16.57473770584417
9369,privbh_14435,24.569831085599958
8997,privbh_14450,32.97561929385018
9004,privbh_14450,28.310372276270197
9359,privbh_14428,30.039083960853816
9354,privbh_14428,10.70935122786638
8922,privbh_14433,15.394519521930746
8886,privbh_14434,26.586480615973024
8950,privbh_14433,30.82120378348622
8951,privbh_14443,32.96697075355654
8952,privbh_14443,28.37068882410513
8953,privbh_14434,23.489647993543443
8954,privbh_14434,26.659585688752077
8984,privbh_14434,19.442983344684507
8921,privbh_14433,2.9968118833451616
8955,privbh_14447,22.916194531578906
8988,privbh_14447,26.419842252864
8990,privbh_14447,7.379739910495772
14791,privbh_15805,9.447919463402153
9111,privbh_15805,26.267900465596327
9108,privbh_14437,31.975997167551174
9061,privbh_14424,30.015437671280917
9129,privbh_11163,26.419811800193905
9109,privbh_11163,32.59772229502791
9132,privbh_11163,30.239002641762074
9054,privbh_14423,26.678564087819232
9051,privbh_14423,15.541878466774591
9055,privbh_14423,22.774179104532863
9117,privbh_14436,32.35668067823801
9115,privbh_14437,27.93755990048998
9091,privbh_14436,20.591722556532574
9090,privbh_14436,16.470676415545938
9123,privbh_14436,34.36528493542091
9049,privbh_14451,32.44973048119229
8914,privbh_14422,23.66686050742825
8941,privbh_14422,14.649043412118052
8961,privbh_14452,21.90212218039431
8960,privbh_14452,9.657281028081872
8960,privbh_14424,29.78774732867064
8964,privbh_14452,15.891125222828402
8964,privbh_14424,11.5996180771638
8965,privbh_14452,16.76539476272232
8965,privbh_14424,13.283609819816176
8963,privbh_14452,24.14351271551611
8963,privbh_14424,27.98434190797556
9136,privbh_14432,22.331760960489703
9137,privbh_14432,24.61439834345874
9195,privbh_14432,33.51686363310032
9138,privbh_14432,7.6945981294901955
9284,privbh_14431,31.317281115390287
9146,privbh_14446,33.186320444249375
9157,privbh_14446,30.889511755158367
9164,privbh_14446,23.084758939787942
9196,privbh_14446,22.967052103886047
9179,privbh_14446,20.55140545919142
9194,privbh_14446,31.832576093683993
9190,privbh_14446,23.19382473903844
9183,privbh_14446,26.874602027154832
9191,privbh_14446,25.285567053336244
9166,privbh_14446,6.900335239701616
9165,privbh_14446,21.957693698020552
9141,privbh_14446,14.431891851418417
